식품명,식품대분류명,에너지(kcal),단백질(g),지방(g),탄수화물(g),당류(g),식이섬유(g),나트륨(mg),포화지방산(g),채소_보너스,Nutri_Score,최종점수
두부 청국장찌개,찌개 및 전골류,38.0,3.516666666666667,1.0383333333333333,3.7399999999999998,0.745,1.6833333333333333,240.33333333333334,0.20833333333333334,0,B,-2.0
두부 탕수,튀김류,119.66666666666667,4.3999999999999995,4.663333333333333,14.76,3.223333333333333,1.7666666666666666,323.6666666666667,0.6966666666666667,0,C,-1.0
두부국,국 및 탕류,25.0,2.15,1.2349999999999999,1.25,0.26,0.6,199.5,0.265,0,C,0.0
두부김치,볶음류,96.2,6.789999999999999,5.49,4.702,1.004,3.2600000000000002,346.4,0.952,1,A,-6.0
두부냉채,생채·무침류,83.0,8.5,3.5500000000000003,4.456666666666667,1.2666666666666666,1.7,298.0,0.8266666666666667,5,A,-9.0
두부볶음,볶음류,197.0,12.4,10.52,13.12,3.68,2.9,246.0,1.77,1,A,-8.0
두부부침,전·적 및 부침류,149.5,12.465,9.665,4.5600000000000005,0.340599628362202,3.55,328.0,1.475,0,A,-6.0
두부전,전·적 및 부침류,158.8,10.714,9.719999999999999,6.244,0.016,2.6399999999999997,218.2,1.512,0,A,-6.0
두부전골,찌개 및 전골류,52.0,4.455,2.49,3.145,0.57,1.55,219.5,0.37,0,B,-2.0
두부조림,조림류,149.71428571428572,11.705714285714285,7.765714285714284,7.985714285714287,2.21,3.2571428571428576,393.7142857142857,1.2300000000000002,0,A,-5.0
두부찌개,찌개 및 전골류,48.5,4.285,1.525,3.18,0.645,1.2,204.0,0.28,0,B,-2.0
두부튀김,튀김류,125.0,6.55,6.345,9.9075,0.8675,1.85,270.0,1.0375,0,B,-4.0
두유 카페라떼,음료 및 차류,37.0,1.4,1.76,3.955,2.995,0.3,32.5,0.32,0,C,0.0
들깨국,국 및 탕류,14.666666666666666,0.63,0.7633333333333333,1.5866666666666667,0.39666666666666667,0.6333333333333333,145.0,0.06666666666666667,0,C,0.0
들깨죽,죽 및 스프류,153.5,3.75,5.865,21.325,0.255,2.5,630.5,0.625,0,C,2.0
들깻잎장아찌,장아찌·절임류,124.0,4.03,0.42,26.0,16.41,4.4,1809.0,0.06,0,D,6.0
등심돈가스,튀김류,179.33333333333334,13.966666666666669,6.493333333333333,14.340000000000002,1.4100000000000001,0.6999999999999998,311.0,1.61,0,B,-3.0
딸기넥타,음료 및 차류,31.0,0.4,0.09,7.96,6.39,0.7,6.0,0.01,0,C,0.0
딸기바나나 스무디,음료 및 차류,54.0,1.1,0.68,11.75,9.34,0.9,11.0,0.4000000000000001,0,C,0.0
땅콩조림,조림류,319.25,13.6625,23.347500000000004,16.947499999999998,5.9075,6.675,386.75,4.109999999999999,0,B,-4.0
땅콩죽,죽 및 스프류,136.33333333333334,3.733333333333333,3.3266666666666667,22.61,0.4366666666666667,1.0999999999999999,165.0,0.64,0,B,-3.0
떡갈비,구이류,202.0,21.38,11.82,2.46,0.4,1.1,404.0,4.29,0,C,0.0
떡강정,튀김류,227.83333333333334,4.753333333333333,5.154999999999999,38.333333333333336,3.6116666666666664,0.9750000000000001,369.0,1.2983333333333333,0,C,0.0
떡국,면 및 만두류,85.33333333333333,2.8999999999999995,1.0793333333333335,16.301333333333336,0.15,0.56,223.46666666666667,0.32866666666666666,0,C,0.0
떡만두국,면 및 만두류,79.18181818181819,2.8172727272727274,1.7399999999999998,13.132727272727271,0.18545454545454546,1.1363636363636365,195.63636363636363,0.5109090909090909,0,C,-1.0
떡볶이,볶음류,144.5,3.58,1.83,26.205,4.21,1.0,345.0,0.5,1,B,-2.0
떡산적,전·적 및 부침류,181.25,8.25,7.095,21.23,2.9724999999999997,1.75,422.25,1.7625,0,B,-3.0
또띠아,빵 및 과자류,244.33333333333334,12.103333333333333,9.035555555555556,28.91,4.2444444444444445,2.3,508.0,3.25,0,C,-1.0
라떼,음료 및 차류,65.0,1.57,2.5949999999999998,9.56,7.29,0.3,30.5,1.35,0,C,0.0
라멘,면 및 만두류,86.8,4.172,3.754,9.053999999999998,0.962,1.12,380.8,0.756,0,C,0.0
라면,면 및 만두류,95.5,2.6,3.215,13.82,0.08,0.95,274.0,1.365,0,C,0.0
라볶이,볶음류,118.33333333333333,2.2433333333333336,3.7533333333333334,18.830000000000002,1.25,1.3333333333333333,196.66666666666666,1.3499999999999999,1,B,-2.0
라조기,튀김류,187.0,10.33,5.7,13.12,1.4,1.4,281.0,0.96,0,B,-4.0
런천미트구이,구이류,303.0,21.6,19.1,11.08,1.3,0.0,1087.0,5.58,0,E,9.0
레몬차,음료 및 차류,41.0,0.05,0.0,10.14,8.59,0.3,7.0,0.0,0,C,0.0
레몬청차,음료 및 차류,60.0,0.13,0.01,14.8,16.33,0.9,3.0,0.0,0,C,1.0
롤빵,빵 및 과자류,369.0,6.223333333333333,20.916666666666668,39.18333333333333,16.013333333333332,2.3,280.0,5.5566666666666675,0,D,5.0
리소토/리조또,밥류,181.5,3.23,11.03,17.235,2.965,0.75,276.0,6.235,0,D,5.0
마늘빵,빵 및 과자류,368.5,7.3725000000000005,13.559999999999999,51.675,13.46,4.3,429.75,5.43,0,C,1.0
마늘장아찌,장아찌·절임류,113.0,2.43,0.16,25.36,15.03,2.9,1127.0,0.04,0,D,8.0
마늘장아찌무침,생채·무침류,99.0,1.88,0.7,21.85,11.66,2.4,805.0,0.12,5,C,0.0
마늘쫑무침,생채·무침류,71.5,2.35,1.1749999999999998,13.66,6.895,3.9,297.0,0.21500000000000002,5,A,-8.0
마늘쫑볶음,볶음류,73.0,3.5,2.78,6.25,2.25,1.8,428.0,0.42,1,B,-2.0
마늘쫑장아찌,장아찌·절임류,110.0,2.0,1.0,21.0,11.2,5.0,1415.0,0.04,0,D,5.0
마늘쫑장아찌무침,생채·무침류,79.0,1.3,0.58,17.725,8.315000000000001,2.9,706.0,0.1,5,B,-2.0
마늘쫑조림,조림류,138.5,4.800000000000001,5.825,20.255,6.645,4.35,658.0,0.91,0,C,-1.0
마라탕,찌개 및 전골류,77.0,4.275,4.21,5.41,1.0899999999999999,2.35,391.5,0.77,0,C,-1.0
마카로니 샐러드,생채·무침류,128.75,2.8000000000000003,7.4174999999999995,12.354999999999999,2.2575000000000003,1.175,155.0,1.2025000000000001,5,A,-7.0
마카롱,빵 및 과자류,463.4,6.7829999999999995,23.34714285714286,53.428,41.209500000000006,2.4,77.2,10.479000000000003,0,E,18.0
마테차,음료 및 차류,2.0,0.06,0.04,0.28,0.11,0.3,0.0,0.0,0,C,0.0
마파두부,볶음류,134.66666666666666,8.118333333333332,8.006666666666668,7.3999999999999995,2.0783333333333336,2.4333333333333336,309.3333333333333,1.3533333333333335,1,A,-6.0
막국수,면 및 만두류,83.0,3.4,0.71,15.71,1.74,1.4,363.0,0.2,0,C,0.0
막창구이,구이류,358.0,15.34,32.73,0.4,1.36,0.2,162.0,12.11,0,D,6.0
만두,면 및 만두류,191.0,8.755,6.585,20.61,0.5800000000000001,3.3,358.5,2.39,0,A,-5.0
만두국,면 및 만두류,62.22222222222222,3.2111111111111112,2.3422222222222224,7.114444444444445,0.3377777777777778,1.8666666666666663,219.0,0.8188888888888889,0,B,-3.0
만두전골,찌개 및 전골류,66.0,3.1399999999999997,2.15,8.45,1.1400000000000001,1.4,319.0,0.55,0,C,0.0
만두탕수,면 및 만두류,89.0,2.9250000000000003,3.6125,11.200000000000001,1.705,1.9,163.5,0.9550000000000001,0,B,-3.0
맛살전,전·적 및 부침류,217.2,9.895999999999999,7.004,27.657999999999998,3.2039999999999997,0.7,904.4,1.266,0,D,4.0
망둥어찌개,찌개 및 전골류,44.0,5.9,0.85,3.4,1.08,1.0,483.0,0.13,0,C,0.0
망둥어찜,찜류,52.0,8.5,0.7,2.96,0.68,1.2,202.0,0.12,0,A,-5.0
매생이국,국 및 탕류,24.0,2.0,0.56,2.68,0.08,1.9,284.0,0.12,0,C,-1.0
매실장아찌,장아찌·절임류,154.0,1.46,1.1,34.57,23.014999999999997,3.65,2427.0,0.055,0,E,10.0
매운 어묵볶음,볶음류,90.0,5.1,2.93,11.02,2.38,0.5,397.0,0.5,1,C,-1.0
매운탕,찌개 및 전골류,39.5,4.81,1.2349999999999999,2.415,0.5,1.0,281.5,0.16999999999999998,0,B,-2.0
매작과,빵 및 과자류,413.0,7.51,13.15,66.11,16.42,2.8,99.0,2.35,0,C,0.0
머위나물,나물·숙채류,28.666666666666668,1.9666666666666668,1.4400000000000002,2.8466666666666662,0.26333333333333336,1.9666666666666668,545.3333333333334,0.20666666666666667,5,B,-3.0
머위나물무침,나물·숙채류,85.0,1.62,7.66,2.49,0.44,2.0,452.0,0.82,5,B,-4.0
머위나물볶음,볶음류,72.0,2.33,4.67,5.07,1.2,3.5,479.0,0.53,1,C,-1.0
머위대나물무침,나물·숙채류,58.0,3.96,2.56,4.76,0.34,1.5,363.0,0.32,5,A,-5.0
머핀,빵 및 과자류,472.3125,6.54875,24.284999999999997,55.066874999999996,32.545625,1.1,385.0625,8.925,0,E,19.0
메기 매운탕,찌개 및 전골류,59.0,4.0,1.46,7.39,0.69,1.0,264.0,0.42,0,B,-2.0
메기찜,찜류,71.0,7.3,2.33,5.37,0.77,1.4,150.0,0.6,0,A,-5.0
메밀국수,면 및 만두류,63.0,3.14,0.29,12.06,1.0274507227332457,0.8,194.0,0.12,0,C,0.0
메밀묵 무침,생채·무침류,65.0,1.6,1.27,12.05,1.46,1.8,249.0,0.21,5,A,-7.0
메밀묵국,국 및 탕류,63.0,1.5499999999999998,1.245,11.64,1.4125,1.75,240.0,0.20500000000000002,0,C,0.0
메밀소바,면 및 만두류,116.0,4.085,2.27,19.700000000000003,2.25,1.0,282.0,0.515,0,C,-1.0
메밀전,전·적 및 부침류,161.0,4.02,0.64,34.79,0.3,3.0,145.0,0.26,0,A,-5.0
메추리알 돼지고기장조림,조림류,127.25,12.850000000000001,5.78,4.8575,1.54,0.275,348.0,1.99,0,B,-3.0
메추리알 어묵조림,조림류,179.66666666666666,10.633333333333335,7.25,17.623333333333335,8.226666666666668,0.6666666666666666,917.0,1.8133333333333335,0,D,4.0
메추리알장조림,조림류,137.5,10.125,6.3275,8.095,2.1975,0.4,813.0,2.015,0,D,4.0
멕시컨샐러드,생채·무침류,102.33333333333333,4.7,7.31,4.78,2.766666666666667,0.9666666666666668,308.3333333333333,1.7233333333333334,5,A,-6.0
멘보샤,튀김류,258.5,9.41,21.6,17.96,1.35,2.1,715.5,4.035,0,C,2.0
멸치 미역국,국 및 탕류,9.0,1.1,0.38,0.71,0.13985657325131007,0.4,375.0,0.07,0,C,3.0
멸치볶음,볶음류,172.0,14.9,10.4,7.455,2.31,1.1,769.0,1.355,1,C,0.0
멸치볶음(멸치만),볶음류,114.0,14.9,3.41,5.15,1.72,0.2,770.0,0.62,1,C,1.0
멸치젓,젓갈류,90.0,11.4,1.6,7.4,0.6,2.6,6667.0,0.8,0,C,3.0
멸치조림,조림류,150.0,15.0,6.69,6.5,3.2,0.1,1121.0,1.2,0,D,5.0
명란젓,젓갈류,147.0,17.96,6.54,3.98,1.5573913043478265,1.1,2044.0,0.72,0,D,4.0
명란찌개,찌개 및 전골류,27.0,3.1,0.58,2.74,0.84,0.7,367.0,0.08,0,C,2.0
명란찜,찜류,61.0,7.1,2.24,3.1,1.28,0.6,1130.0,0.41,0,D,6.0
명태 매운탕,찌개 및 전골류,49.0,7.1,1.03,3.15,0.79,1.5,58.0,0.16,0,A,-5.0
모닝빵,빵 및 과자류,378.2,8.555000000000001,15.51,51.345000000000006,13.394,2.4,334.8,7.781000000000001,0,D,4.0
모듬 김밥,밥류,113.0,4.2,2.75,17.49,0.7,1.3,184.0,0.69,0,B,-2.0
모듬 초밥,밥류,188.5,9.9,3.035,28.775,2.375,0.55,369.5,0.875,0,B,-2.0
모듬 콩조림,조림류,181.0,11.1,9.11,15.38,3.85,5.5,321.0,1.55,0,A,-8.0
모듬배추나물,나물·숙채류,32.0,1.7,1.27,4.005,1.365,2.1500000000000004,296.0,0.2,5,A,-6.0
모듬버섯볶음,볶음류,69.0,3.0,4.56,6.82,2.0,2.6,430.0,0.75,1,C,-1.0
모듬찰떡,빵 및 과자류,225.5,6.545,3.2800000000000002,42.43000000000001,3.05,4.05,195.5,0.465,0,A,-7.0
모듬채소전,전·적 및 부침류,154.0,3.4,5.65,21.32,1.21,1.6,173.0,0.91,0,B,-3.0
모듬채소전골,찌개 및 전골류,20.0,1.8,0.6,2.1,0.61,0.9,145.0,0.14,0,B,-2.0
모듬회,수·조·어·육류,133.0,22.5,2.31,5.15,2.44,0.3,493.0,0.44,0,C,-1.0
모밀국수,면 및 만두류,123.0,4.525,0.4175,24.91,1.8475000000000001,1.625,359.0,0.1175,0,C,-1.0
모싯잎송편,빵 및 과자류,190.0,5.653333333333333,0.66,40.29,2.6500000000000004,4.033333333333333,262.0,0.24,0,A,-6.0
모카빵,빵 및 과자류,339.0,8.55,8.05,57.96,12.53,3.6,354.0,3.76,0,B,-4.0
몸국,국 및 탕류,22.0,2.9,0.65,1.54,0.4,1.0,119.0,0.21,0,B,-2.0
무 된장국,국 및 탕류,17.5,1.4500000000000002,0.39749999999999996,2.0975,0.7050000000000001,0.7749999999999999,238.25,0.07750000000000001,0,C,1.0
무 북어국,국 및 탕류,24.75,3.675,0.6499999999999999,1.025,0.36250000000000004,0.3,162.0,0.16249999999999998,0,B,-2.0
무 어묵조림,조림류,110.5,6.3,3.06,14.75,4.285,0.7,622.5,0.535,0,C,2.0
무 파래무침,생채·무침류,23.0,1.1,0.38,4.86,2.62,1.2,221.0,0.07,5,A,-5.0
무국,국 및 탕류,24.0,1.9,1.0,1.63,0.44,0.4,177.0,0.09,0,C,-1.0
무국물,국 및 탕류,3.0,0.16,0.0,0.55,0.36,0.0,2.0,0.0,0,C,0.0
무나물,나물·숙채류,29.75,0.5999999999999999,1.6574999999999998,3.295,1.2725,0.875,408.0,0.235,5,B,-2.0
무나물무침,나물·숙채류,21.0,0.62,0.46,3.64,3.3,1.6,352.0,0.04,5,B,-4.0
무말랭이무침,생채·무침류,124.0,3.3,1.2,21.13,6.5,6.4,317.0,0.21,5,A,-10.0
무말랭이장아찌,장아찌·절임류,117.0,4.1,3.23,18.34,6.61,6.8,1287.0,0.51,0,C,3.0
무밥,밥류,177.0,3.7,1.06,36.68,0.79,1.3,198.0,0.21,0,B,-2.0
무생채,생채·무침류,40.666666666666664,1.6193333333333333,0.8353333333333334,7.324000000000001,3.8173333333333344,2.0933333333333333,494.46666666666664,0.1333333333333333,5,B,-4.0
