식품명,식품대분류명,에너지(kcal),단백질(g),지방(g),탄수화물(g),당류(g),식이섬유(g),나트륨(mg),포화지방산(g),채소_보너스,Nutri_Score,최종점수
아욱 된장국,국 및 탕류,16.2,1.3,0.32,2.51,0.37,1.24,228.0,0.06,0,C,0.0
아이스 카페라떼,음료 및 차류,44.0,1.4,1.5,6.35,4.37,0.0,16.67,0.97,0,C,0.0
아이스 카페모카,음료 및 차류,81.0,1.7,3.07,11.95,8.17,0.3,26.5,2.04,0,C,0.0
아이스크림,유제품류 및 빙과류,226.0,3.48,10.72,28.7,20.87,0.9,75.0,6.09,0,D,5.0
아이스티,음료 및 차류,38.0,0.01,0.1,8.56,7.37,0.3,2.0,0.03,0,C,0.0
알밥,밥류,86.0,2.4,1.45,15.71,0.74,0.9,169.0,0.29,0,B,-2.0
알탕,찌개 및 전골류,39.0,6.37,0.74,2.29,0.55,0.8,156.0,0.15,0,B,-3.0
앙금빵,빵 및 과자류,298.0,6.67,1.5,63.33,35.0,4.1,75.0,10.53,0,D,7.0
애호박 감자된장국,국 및 탕류,23.33,1.9,0.32,3.3,0.68,1.0,192.33,0.07,0,C,-1.0
애호박 된장국,국 및 탕류,23.0,2.0,0.48,3.18,0.97,1.5,283.0,0.09,0,C,0.0
애호박 볶음,볶음류,61.5,1.21,4.28,4.78,1.1,2.1,325.5,0.6,1,C,-1.0
애호박나물,나물·숙채류,37.0,1.3,1.44,5.51,2.64,2.2,162.0,0.21,5,A,-7.0
애호박부침개,전·적 및 부침류,150.0,5.5,5.92,17.83,1.27,1.65,239.5,1.1,0,B,-3.0
애호박전,전·적 및 부침류,112.2,3.17,7.1,8.65,1.6,1.54,172.6,1.21,0,B,-2.0
애호박죽,죽 및 스프류,77.0,1.4,0.96,15.0,0.43,0.6,57.0,0.16,0,C,0.0
애호박찌개,찌개 및 전골류,33.0,3.0,0.78,3.77,0.99,1.45,219.0,0.16,0,C,-1.0
애호박찜,찜류,38.5,1.85,1.56,4.74,1.98,1.85,574.0,0.25,0,C,2.0
액상커피,음료 및 차류,17.0,0.2,0.01,3.98,1.68,0.0,0.0,0.0,0,C,0.0
약과,빵 및 과자류,399.0,4.2,4.75,84.89,16.89,5.3,57.0,1.22,0,B,-2.0
약식,빵 및 과자류,220.0,4.32,2.38,45.34,11.72,2.05,227.0,0.32,0,B,-2.0
양념 도토리묵,생채·무침류,55.0,1.1,1.27,9.91,0.15,1.6,363.0,0.2,5,B,-3.0
양념 돼지고기튀김,튀김류,189.0,12.9,8.58,13.89,2.19,0.6,347.0,1.81,0,B,-3.0
양념 바지락젓,젓갈류,50.0,5.8,1.97,2.07,0.81,0.6,1.0,0.26,0,B,-3.0
양념 새우젓,젓갈류,67.0,7.3,1.5,6.78,1.5,2.2,5863.0,0.34,0,D,4.0
양념 오징어젓,젓갈류,66.0,7.9,1.33,5.27,1.43,1.0,1858.0,0.25,0,D,5.0
양념두부,볶음류,68.0,6.2,3.39,2.99,0.09,2.0,105.0,0.51,1,A,-6.0
양념채김치,김치류,53.0,3.3,1.55,7.5,3.61,2.8,1065.0,0.27,5,C,0.0
양념초장,"장류, 양념류",134.0,10.4,1.03,21.8,1.39,3.8,4784.0,0.17,0,C,1.0
양미리조림,조림류,143.0,18.1,4.45,5.61,1.53,0.7,286.0,1.03,0,B,-3.0
양배추 겉절이,생채·무침류,42.5,1.85,1.31,7.18,3.55,2.65,411.0,0.2,5,A,-5.0
양배추 된장국,국 및 탕류,34.0,2.9,0.89,3.93,1.61,1.6,313.0,0.16,0,C,0.0
양배추 사과 샐러드,생채·무침류,137.67,0.9,10.72,10.61,7.62,2.0,73.33,1.53,5,A,-7.0
양배추 샐러드,생채·무침류,99.0,0.9,8.95,4.32,2.2,1.3,145.0,1.3,5,A,-6.0
양배추 초나물,나물·숙채류,65.5,2.0,2.75,9.44,5.6,2.4,175.0,0.43,5,A,-8.0
양배추김치,김치류,39.0,2.2,0.39,8.29,4.0,3.4,2099.0,0.09,5,C,1.0
양배추나물,나물·숙채류,71.0,2.2,3.76,8.69,4.42,3.1,799.0,0.58,5,B,-2.0
양배추부추무침,생채·무침류,37.5,2.05,0.57,7.38,3.75,3.38,360.5,0.1,5,A,-6.0
양배추오이  샐러드,생채·무침류,188.0,1.8,17.09,8.2,4.28,2.3,120.0,2.47,5,A,-7.0
양상추 샐러드,생채·무침류,78.5,1.4,6.22,4.78,3.12,1.05,111.5,0.98,5,A,-6.0
양송이 덮밥,밥류,93.0,1.9,0.65,19.64,1.27,0.7,46.0,0.12,0,C,-1.0
양송이버섯볶음,볶음류,93.5,4.35,6.94,4.51,2.25,1.15,255.25,2.12,1,B,-2.0
양장피,생채·무침류,81.0,10.7,1.8,5.33,3.15,1.8,362.0,0.46,5,A,-9.0
양태구이,구이류,107.0,14.0,5.11,0.1,0.03,0.0,672.0,0.76,0,C,1.0
양파 소고기전,전·적 및 부침류,155.0,5.0,10.63,8.88,3.51,1.2,435.0,2.11,0,C,0.0
양파링튀김,튀김류,411.0,3.86,25.23,43.58,5.43,2.7,776.0,4.19,0,E,9.0
양파볶음,볶음류,63.67,0.93,3.97,6.31,5.63,1.47,306.67,0.55,1,C,0.0
양파장아찌,장아찌·절임류,63.0,0.6,0.03,16.05,15.42,1.0,6050.0,0.01,0,E,11.0
어묵 감자볶음,볶음류,208.33,8.2,9.09,23.6,4.36,1.3,558.0,1.45,1,B,-2.0
어묵 매운탕,찌개 및 전골류,38.75,2.7,0.84,5.5,1.4,0.7,230.25,0.16,0,C,0.0
어묵 오이무침,생채·무침류,127.0,7.7,3.07,18.17,5.5,1.3,531.67,0.56,5,A,-6.0
어묵 우동,면 및 만두류,61.25,1.85,0.82,11.18,0.2,0.65,205.0,0.18,0,C,0.0
어묵국,국 및 탕류,36.5,2.7,0.86,4.7,0.92,0.48,343.5,0.16,0,C,1.0
어묵국(어묵탕),국 및 탕류,30.0,1.69,0.69,3.83,0.69,0.4,226.0,0.11,0,C,0.0
어묵국물,국 및 탕류,7.0,0.5,0.13,1.05,0.14,0.2,234.0,0.03,0,C,1.0
어묵볶음,볶음류,89.0,4.3,3.57,10.05,2.58,0.7,360.0,0.58,1,C,0.0
어묵잡채,볶음류,127.0,6.6,6.54,10.01,2.23,0.6,426.5,1.72,1,B,-2.0
어묵전,전·적 및 부침류,274.0,12.6,11.41,28.78,2.32,0.75,913.0,2.17,0,D,5.0
어묵조림,조림류,170.57,8.63,5.88,20.9,5.11,1.13,817.43,0.98,0,C,2.0
어묵탕,국 및 탕류,30.38,2.09,0.74,4.03,0.79,0.35,239.62,0.14,0,C,0.0
어묵튀김,튀김류,179.25,8.45,8.94,15.65,1.91,0.3,811.25,1.64,0,C,3.0
어육소시지전,전·적 및 부침류,177.0,8.23,10.14,12.73,2.04,0.1,441.0,2.82,0,C,-1.0
어죽,죽 및 스프류,69.0,2.55,0.94,12.6,1.23,1.1,263.0,0.21,0,C,-1.0
어탕,국 및 탕류,57.0,8.47,2.06,1.21,0.24,0.7,323.0,0.29,0,B,-3.0
얼갈이 겉절이,생채·무침류,23.75,1.18,0.57,4.13,1.74,1.98,241.5,0.1,5,A,-6.0
얼갈이 나물,나물·숙채류,48.0,1.9,3.05,3.98,0.68,2.7,1483.0,0.47,5,C,1.0
얼갈이 된장국,국 및 탕류,12.0,0.9,0.36,1.63,0.41,0.95,199.5,0.05,0,C,0.0
얼갈이배추김치,김치류,46.5,1.74,1.01,7.65,0.76,2.5,413.5,0.07,5,A,-5.0
에이드,음료 및 차류,42.0,0.0,0.06,9.94,9.09,0.3,2.0,0.0,0,C,1.0
연근전,전·적 및 부침류,82.0,1.9,3.52,10.26,0.57,1.2,14.0,0.6,0,B,-2.0
연근조림,조림류,125.0,1.85,1.17,22.23,3.32,2.25,425.0,0.16,0,C,0.0
연근튀김,튀김류,173.67,3.53,9.22,18.23,1.05,2.13,443.67,1.57,0,C,-1.0
연두부찌개,찌개 및 전골류,42.0,4.8,1.48,2.59,0.95,0.8,291.0,0.24,0,C,0.0
연두부찜,찜류,67.75,4.97,3.37,4.36,1.12,1.12,191.0,0.42,0,B,-3.0
연어구이,구이류,223.0,24.78,11.68,0.2,0.07,0.0,850.0,1.84,0,C,3.0
연어롤,밥류,170.0,6.19,5.13,24.77,2.82,3.0,404.0,0.94,0,B,-3.0
연어튀김,튀김류,149.0,13.1,5.71,9.66,0.01,0.4,971.0,1.01,0,D,4.0
연잎밥,밥류,207.0,4.0,0.3,47.0,0.66,0.92,178.0,0.0,0,B,-3.0
연포탕,국 및 탕류,54.0,9.49,0.9,2.02,0.02,1.4,234.0,0.18,0,A,-5.0
열무 겉절이,생채·무침류,25.0,1.6,0.26,4.78,1.74,1.3,1129.0,0.05,5,C,3.0
열무 된장국,국 및 탕류,20.0,2.1,0.51,2.09,0.48,1.0,335.33,0.1,0,C,0.0
열무 비빔밥,밥류,86.5,2.4,0.82,16.86,0.61,0.9,112.0,0.3,0,B,-2.0
